"1",1,615623.874301009,7799096.55545596
"2",1,615622.808810521,7799218.30940797
"3",1,615619.612665425,7799340.02606564
"4",1,615614.286844729,7799461.66814608
"5",1,615606.832979781,7799583.19838921
"6",1,615597.253353766,7799704.57956924
"7",1,615585.55090101,7799825.77450601
"8",1,615571.729206079,7799946.74607642
"9",1,615555.792502682,7800067.4572258
"10",1,615537.745672377,7800187.87097923
"11",1,615517.594243068,7800307.95045289
"12",1,615495.344387321,7800427.65886537
"13",1,615471.002920465,7800546.9595489
"14",1,615444.577298512,7800665.81596061
"15",1,615416.075615867,7800784.1916937
"16",1,615385.506602852,7800902.05048863
"17",1,615352.879623031,7801019.35624419
"18",1,615318.204670341,7801136.07302856
"19",1,615281.492366032,7801252.16509036
"20",1,615242.753955414,7801367.59686952
"21",1,615202.001304409,7801482.33300827
"22",1,615159.246895923,7801596.33836189
"23",1,615114.503826013,7801709.57800952
"24",1,615067.785799887,7801822.01726482
"25",1,615019.107127695,7801933.62168666
"26",1,614968.482720152,7802044.35708958
"27",1,614915.92808397,7802154.18955434
"28",1,614861.459317107,7802263.08543826
"29",1,614805.093103837,7802371.01138556
"30",1,614746.846709637,7802477.93433755
"31",1,614686.737975902,7802583.82154276
"32",1,614624.785314479,7802688.640567
"33",1,614561.007702024,7802792.35930324
"34",1,614495.424674195,7802894.94598152
"35",1,614428.056319662,7802996.3691786
"36",1,614358.923273959,7803096.59782766
"37",1,614288.04671316,7803195.60122774
"38",1,614215.448347393,7803293.34905322
"39",1,614141.15041419,7803389.81136307
"40",1,614065.175671678,7803484.95861001
"41",1,613987.547391603,7803578.76164957
"42",1,613908.289352206,7803671.19174905
"43",1,613827.425830937,7803762.22059628
"44",1,613744.981597021,7803851.82030829
"45",1,613660.981903868,7803939.9634399
"46",1,613575.45248134,7804026.62299206
"47",1,613488.419527868,7804111.77242018
"48",1,613399.90970243,7804195.38564222
"49",1,613309.950116382,7804277.4370467
"50",1,613218.568325153,7804357.90150053
"51",1,613125.792319808,7804436.75435674
"52",1,613031.650518474,7804513.97146197
"53",1,612936.17175763,7804589.52916394
"54",1,612839.38528328,7804663.40431864
"55",1,612741.320741992,7804735.57429744
"56",1,612642.008171817,7804806.01699405
"57",1,612541.477993089,7804874.71083121
"58",1,612439.760999107,7804941.63476739
"59",1,612336.8883467,7805006.76830319
"60",1,612232.891546688,7805070.09148762
"61",1,612127.802454226,7805131.58492422
"62",1,612021.653259049,7805191.22977699
"63",1,611914.476475611,7805249.00777619
"64",1,611806.304933124,7805304.90122388
"65",1,611697.171765504,7805358.89299941
"66",1,611587.110401224,7805410.9665646
"67",1,611476.15455307,7805461.10596886
"68",1,611364.338207815,7805509.29585403
"69",1,611251.695615813,7805555.52145912
"70",1,611138.261280503,7805599.76862481
"71",1,611024.069947842,7805642.0237978
"72",1,610909.156595663,7805682.27403494
"73",1,610793.55642296,7805720.50700723
"74",1,610677.304839105,7805756.71100356
"75",1,610560.437453006,7805790.87493433
"76",1,610442.990062193,7805822.98833481
"77",1,610324.998641859,7805853.04136837
"78",1,610206.499333838,7805881.02482952
"79",1,610087.528435533,7805906.93014665
"80",1,609968.122388803,7805930.74938474
"81",1,609848.317768792,7805952.47524774
"82",1,609728.151272734,7805972.10108083
"83",1,609607.659708708,7805989.62087243
"84",1,609486.879984364,7806005.02925607
"85",1,609365.849095619,7806018.32151203
"86",1,609244.604115322,7806029.49356877
"87",1,609123.182181902,7806038.54200419
"88",1,609001.620487989,7806045.46404667
"89",1,608879.956269024,7806050.25757593
"90",1,608758.226791852,7806052.92112367
"91",1,608636.469343308,7806053.45387401
"92",1,608514.721218792,7806051.85566378
"93",1,608393.019710851,7806048.12698251
"94",1,608271.402097752,7806042.26897234
"95",1,608149.905632064,7806034.28342763
"96",1,608028.567529247,7806024.17279442
"97",1,607907.424956254,7806011.94016969
"98",1,607786.515020146,7805997.5893004
"99",1,607665.874756723,7805981.12458236
"100",1,607545.541119184,7805962.55105885
"101",1,607425.550966803,7805941.87441911
"102",1,607305.941053646,7805919.10099658
"103",1,607186.748017304,7805894.23776697
"104",1,607068.008367676,7805867.29234611
"105",1,606949.758475786,7805838.27298762
"106",1,606832.03456264,7805807.1885804
"107",1,606714.87268813,7805774.04864587
"108",1,606598.308739995,7805738.8633351
"109",1,606482.378422818,7805701.64342566
"110",1,606367.117247101,7805662.40031835
"111",1,606252.560518378,7805621.14603369
"112",1,606138.743326405,7805577.89320823
"113",1,606025.700534413,7805532.6550907
"114",1,605913.466768426,7805485.44553794
"115",1,605802.076406655,7805436.27901067
"116",1,605691.563568973,7805385.17056903
"117",1,605581.962106453,7805332.13586801
"118",1,605473.305591012,7805277.1911526
"119",1,605365.627305117,7805220.35325287
"120",1,605258.960231595,7805161.63957878
"121",1,605153.337043532,7805101.06811485
"122",1,605048.790094259,7805038.65741467
"123",1,604945.351407449,7804974.4265952
"124",1,604843.052667302,7804908.39533091
"125",1,604741.925208841,7804840.58384778
"126",1,604642.000008318,7804771.01291708
"127",1,604543.307673721,7804699.70384899
"128",1,604445.878435399,7804626.67848615
"129",1,604349.742136805,7804551.95919686
"130",1,604254.928225351,7804475.56886832
"131",1,604161.465743394,7804397.53089958
"132",1,604069.38331933,7804317.86919437
"133",1,603978.709158836,7804236.60815378
"134",1,603889.471036222,7804153.7726688
"135",1,603801.696285928,7804069.38811269
"136",1,603715.411794151,7803983.48033319
"137",1,603630.643990606,7803896.07564464
"138",1,603547.418840434,7803807.20081987
"139",1,603465.761836247,7803716.88308204
"140",1,603385.697990321,7803625.15009629
